Gewerbeanmeldung|ID_OID_8957937
Antrag auf Eintragung in das Versicherungsvermittlerregister nach § 11a GeWO (natürliche Person)|ID_OID_9106253_b
Mitteilung über die Tätigkeit in einem anderen Mitgliedstaat|ID_OID_9106253_c
Antrag auf Erteilung einer Bestätigung für die Geeignetheit des Aufstellortes eines Spielgerätes|ID_OID_8998836
Antrag auf Erteilung einer Erlaubnis gem. § 33 c Gewerbeordnung (Aufstellung von Spielgeräten mit Gewinnmöglichkeiten|ID_OID_8998836_a
Antrag auf Erteilung einer Bestätigung für die Geeignetheit des Aufstellortes eines Spielgerätes|ID_OID_8998851
Anzeige Gaststättenbetrieb: Stellvertreter|ID_OID_8998830
Meldung der vorübergehenden Erbringung von Dienstleistungen gemäß § 8 EU/EWR HwV|ID_OID_10615382
Antrag auf Erteilung einer Ausnahmebewilligung nach § 8 der Handwerksordnung|ID_OID_10615330
Antrag auf Erteilung einer Ausnahmebewilligung nach § 9 der Handwerksordnung|ID_OID_10923143
Antrag auf allgemeine Beeidigung/Ermächtigung als Dolmetscher/in / Übersetzer/in|ID_OID_10614166
Antrag auf Erteilung einer Erlaubnis nach § 34f Abs. 1 GeWO (juristische Person)|ID_OID_344097462
Antrag auf Erteilung einer Erlaubnis nach § 34f Abs. 1 GeWO (natürliche Person)|ID_OID_344097462_a
Antrag auf Eintragung in das Vermittlerregister nach §§ 34f Abs. 5/34h Abs. 1 Satz 4/34i Abs. 8, 11a GeWO juristisch|ID_OID_344097469
Antrag auf Eintragung in das Vermittlerregister von mitwirkenden Arbeitnehmern|ID_OID_344097462_b
Beiblatt für juristische Person|ID_OID_344097462_c
Antrag auf Erteilung einer Ausübungsberechtigung nach § 7a Handwerksordnung|ID_OID_10615211
Antrag auf Erteilung einer Ausübungsberechtigung nach § 7b Handwerksordnung|ID_OID_10615240
Antrag auf Anerkennung der Geeignetheit als Träger für Bildungsurlaubsveranstaltungen|ID_OID_345332702
Antrag auf Wiedergestattung zur Ausübung eines Gewerbes|ID_OID_11022320
Antrag auf Ausstellung/Verlängerung/Eweiterung  einer Reisegewerbekarte|ID_OID_8965679
Gewerbemeldung, nachträgliche Ausstellung der Empfangsbescheinigung|ID_OID_GEWMELD_BESTAETIGUNG
